Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kuintal) (Kw),Produksi Jamur Merang (kuintal) (Kw),Produksi Jamur Lainnya (kuintal) (Kw)
Kalimantan Timur,8013.36,910.1,-,38905.47,26442.37,72358.14,60930.47,70954,814.1,-,74567.39,48.5,4242.8,13693.95,-,53321.67,84777.44,-,77427.09,55904.23,-,11026.21,33213.52,2025.94,-,0.3
Kalimantan Utara,25798.79,756,-,28593.92,24681.79,85177.82,32778.62,60663.83,-,-,67826.09,-,18335,5567,5,48989.65,30436.03,-,110281.56,107538.11,-,53812.63,33795.28,59.03,-,-
Sulawesi Utara,419856.94,25546.51,-,4711.62,8796.32,126669.58,8579.61,43053.37,11751.92,360867,13511.93,686569.46,187930.02,779.21,626.6,431187.27,1936.11,-,114150.05,382616.48,457791.18,66.5,58751.96,-,-,-
Sulawesi Tengah,31230.48,20362.93,2,10160.41,7916.8,166231.64,26803.36,26292.62,5946.16,1869.4,35579.86,42630.92,35251.57,9588.6,16.8,39670.88,48026.95,51.5,57208.31,118893.87,6541.7,13235.84,40386.3,0.65,-,-
Sulawesi Selatan,352638.58,3227415.59,-,42302.19,64707.37,442408.69,77589.57,116047.12,29656.6,669030.55,58159.52,560726.47,135715.83,14678.52,37,191612.81,130235.15,751.66,103214.83,722152.09,327654.38,158801.37,94625.9,3776.56,-,-
Sulawesi Tenggara,5714.36,3970.35,-,29193.47,2948.47,42058.43,39793.76,46924.01,22.6,23,26479.23,4428.45,4741.4,5410.7,0.06,19724.78,25427.86,8.49,54750.93,43687.69,-,11387.47,16167.43,693,-,0.1
Gorontalo,555.25,371,-,49.51,-,110397.35,7383,6037.2,-,-,3704.45,-,1627.5,45,-,249.3,2514,-,17745.3,64783.7,-,-,4694.2,0.59,-,-
Sulawesi Barat,1012.37,9687.22,-,13264.55,47,28149.22,16244.98,13012.14,-,100,13234.99,55,1504.09,49.2,-,5594.87,2376.3,8,15399.34,18637.67,139,20221.33,7135.92,-,-,1.53
Maluku,3623.13,3250.44,-,6295.07,9134.84,30216.64,11470.71,22169.16,516.72,96,18513.78,3793.88,1139.5,594.5,83.18,18534.94,9602.83,-,16794.38,20254.2,49,1261.3,18504.96,0.42,-,-
Maluku Utara,11846.86,3338.76,-,7037.81,4185.82,56959.77,27684.38,19120.5,-,-,24780.34,93,5554.19,616,-,17219.13,11466.05,-,42871.74,121185.81,-,493.65,70249.72,-,-,0.1
Papua Barat,156.75,344.41,-,1530.96,598.45,3932.5,2863.37,2770.4,-,-,1673.7,84.97,161.6,26.35,-,3073.25,30.92,-,1238.67,3351.71,-,482.91,326.94,-,-,-
Papua Barat Daya,419,6,-,10491.15,2129.85,30215.61,7912.61,23732.64,324.3,-,2917.6,80,232,796,-,10227,2267,-,12454.74,4812.85,-,1426.5,3967.2,-,-,-
Papua,759.5,1066,-,19249.8,99.25,1442,1559.5,29457.5,1170,-,2209.65,10609,1226,815,-,21132.5,2250,-,4105.75,6100.25,-,491.35,535,-,-,-
Papua Selatan,3238.69,999,-,3533.41,7115.04,15287.56,14104.79,10688.41,766.51,-,8650.75,14398.55,192.6,1940,-,11389.2,4285.25,-,10586.17,30641.25,-,7863.05,0.04,-,-,-
Papua Tengah,8793,2,-,17791.55,15870.2,26407,16909,31693,12.13,-,18758,9860.93,2151,18168,-,14856.6,28805.8,-,16271,13905.5,223.7,9783,663,-,-,-
Papua Pegunungan,130.7,496.5,55.7,402.6,542.9,253.6,430.8,34.5,-,155.2,402.1,295.2,1751.85,-,-,25,-,-,22.3,227.6,59.2,13,80.7,-,-,-
Indonesia,6049076.7,21861568.44,368616.73,1718827.65,3040628.95,17431254.35,2845721.9,3207123.27,1834913.52,12495928.09,4131375.86,13999169.82,4231493.15,1139648.58,67500.53,6511039.92,3630095.45,441148.98,6820915.88,12279486.1,6517285.33,3871164.47,13279127.34,391216.99,25172.15,18068.05
